Symbol	Description
AA.P	Alcoa Inc.
AADR	WCM BNY Mellon Focused Growth A
AAU	Almaden Minerals Ltd.
ABI	Applera Corp
ABL	American Biltrite Inc.
ACK	ADELANTE SHS CLASSIC
ACU	Acme United Corporation.
ACY	AeroCentury Corp.
ADF	BANK OF AMERICA CORPORATION STR
ADGE	American DG Energy Inc.
ADJ	Morgan Stanley
ADK	Adcare Health Systems Inc
ADK.W	Adcare Health Systems Inc
ADZ	DB AGRICUL SHORT ETN
AE	Adams Resources & Energy Inc.
AEN	Adeona Pharmaceuticals Inc.
AFK	MV AFRICA ETF
AFO	Safety First Trust
AFP	United Capital Corporation
AGA	DB AGRI DBL SHRT ETN
AGF	DB AGRI LONG ETN
AGG	Ishares Lehman Aggregate Bond Fund
AGOL	ETFS Asian Gold Trust ETV
AGQ	PROSHARES
AGR	SWEDISH EXPORT CREDI
AGX	Argan Inc.
AGZ	ISHARES
AHB	12% SPARQS LINKED TO ARCH COAL
AHY	MS APPLE SPARQS
AIA	American Insured Mortgage Investors
AIM	Aerosonic Corporation
AIP	American Israeli Paper Mills Ltd.
AIS	Antares Pharma Inc.
AJB	SAFETY FIRST TR SP50
AKE	Safety First Trust
AKN	Safety First Trust
ALN	American Lorain Corporation
ALO	BANK OF AMERICA
ALT	Alteon Inc.
ALUM	Global X Aluminum ETF
AMJ	JP MORGAN ALERIAN ET
AMLP	Alerian Mlp Etf
AMM	Safety First Trust
AMS	American Shared Hospital Services
AMY	AmREIT Inc
AND	Structured Product Morgan Stanley
ANO	Anooraq Resources Corporation
ANV	Allied Nevada Gold Corp
ANX	ADVENTRX Pharmaceuticals Inc.
AOA	ISHARES
AOK	ISHARES
AOM	ANORMED INC
AOR	ISHARES
API	Advanced Photonix Inc.
APP	American Apparel Inc
APT	Alpha Pro Tech Ltd.
AQQ	American Spectrum Realty Inc.
ARR	Armour Residential R
ARR.W	Armour Residential R
ATA	Safety First Trust
ATC	Cycle Country Accessories Corporation
ATSC	ATS Corporation
AUMN	Golden Minerals Co.
AVL	Avalon Rare Metals Inc.
AWX	Avalon Holdings Corporation
AXDI	iShares MSCI ACWI ex US Consume
AXEN	iShares MSCI ACWI ex US Energy
AXHE	iShares MSCI ACWI ex US Health
AXID	iShares MSCI ACWI ex US Industr
AXIT	iShares MSCI ACWI ex US Informa
AXK	Accelr8 Technology Corporation
AXMT	iShares MSCI ACWI ex US Materia
AXN	China Aoxing Pharmaceutical Company Inc.
AXSL	iShares TMSCI ACWI ex US Consum
AXTE	iShares MSCI ACWI ex US Telecom
AXU	Alexco Resource Corp
AXUT	iShares MSCI ACWI ex US Utiliti
AYT	BARCLAYS GEMS ASIA-8
AZC	Augusta Resource Corporation
AZK	Aurizon Mines Ltd.
BAA	BANRO CORPORATION
BAA.W	BANRO CORPORATION
BAB	Build America Bond
BABS	SPDR Nuveen Barclays Capital Bu
BABZ	Pimco Build America Bond Strate
BAL	IPATH DJ-AIG COTTON
BBH	Merrill Lynch Biotech HOLDRS
BCV	Bancroft Convertible Fund Inc.
BDD	POWERSHARES DB BASE
BDG	POWERSHARES DB BASE
BDH	Merrill Lynch Broadband HOLDRS
BDL	Flanigan's Enterprises Inc.
BDR	Blonder Tongue Laboratories Inc.
BEM	Morgan Stanley
BFY	BlackRock New York Municipal Income Trust II
BGU	LARGE CAP BULL 3X
BGZ	LARGE CAP BEAR 3X
BHB	Bar Harbor Bankshares Inc.
BHH	Merrill Lynch B2B Internet HOLDRS
BHO	B+H Ocean Carriers Ltd.
BHV	BlackRock Virginia Municipal Bond Trust
BIK	SPDR Index Fund
BIL	SPDR Series Trust
BIR-A	Berkshire Income Realty Inc.
BIV	Vanguard Bond Index Funds
BJI	MORGAN STANLEY
BJK	Market Vectors ETF Trust
BKF	MSCI BRIC INDEX FUND
BKJ	Bancorp of New Jersey Inc
BKR	Baker (Michael) Corporation
BLD	Baldwin Technology Company Inc.
BLE	BlackRock Municipal Income Trust II
