Symbol	Description
AAC.AX	Australian Agricultural Company Ltd
AAD.AX	Ardent Leisure Group
AAE.AX	Australian Ethanol Ltd
AAG.AX	Aragon Resources Ltd
AAI.AX	Alcoa Inc (USA CUFS)
AAJ.AX	Aruma Resources Limited
AAK.AX	AAK
AAKO.AX	Australia China Holdings Limited
AAL.AX	Apac Coal Ltd
AAM.AX	A1 Minerals Ltd
AAO.AX	Australasia Gold Ltd
AAOO.AX	AAOO
AAQ.AX	Australis Aquaculture Ltd
AAR.AX	Anglo Australian Resources NL
AAS.AX	Asian Pacific Ltd
AAT.AX	Autron Corporation Ltd
AAU.AX	Adcorp Australia Ltd
AAX.AX	Ausenco Ltd
AAY.AX	Aacl Holdings Limited
AAZPB.AX	AAZ
ABC.AX	Adelaide Brighton Ltd
ABN.AX	Adeffective Limited
ABP.AX	Abacus Property Group
ABQ.AX	Allied Brands Ltd
ABU.AX	ABM Resources NL
ABV.AX	Advanced Braking Technology Ltd
ABW.AX	Aurora Buy Write Income Trust
ABY.AX	Aditya Birla Minerals Ltd
ABZ.AX	Australian Bauxite Limited
ACB.AX	A-Cap Resources Ltd
ACE.AX	Advanced Engine Components Ltd
ACG.AX	Atcor Medical Holdings Ltd
ACK.AX	Austock Group Ltd
ACL.AX	Alchemia Ltd
ACR.AX	Acrux Ltd
ACS.AX	Accent Resources NL
ACU.AX	Avantogen Ltd
ACW.AX	Actinogen Ltd
ACWO.AX	Actinogen Ltd
ACWOA.AX	Actinogen Limited
ACZ.AX	Atticus Resources Ltd
ACZO.AX	Atticus Resources Ltd
ADA.AX	Adacel Technologies Ltd
ADD.AX	Adavale Resources Ltd
ADE.AX	Australian Diamond Explrtn t/over ASH
ADN.AX	Adelaide Resources Ltd
ADO.AX	
ADQ.AX	ADG Global Supply Ltd
ADQO.AX	Adg Global Supply Limited.
ADU.AX	Adamus Resources Ltd
ADX.AX	Audax Resources Ltd
ADXO.AX	ADXO
ADY.AX	Admiralty Resources NL
AEA.AX	Altera Capital Ltd
AEAO.AX	Altera Resources Limited
AEB.AX	Algae.tec Limited
AED.AX	AED Oil Ltd
AEE.AX	Aura Energy Ltd
AEF.AX	Australian Ethical Investments Ltd
AEI.AX	Aeris Technologies Ltd
AEJ.AX	Alinta Energy Group
AEK.AX	Anatolia Energy Limited
AEM.AX	Artist & Entertainment Group Ltd
AEO.AX	Austereo Group Ltd
AES.AX	Advanced Energy Systems Ltd
AEU.AX	Australian Education Trust
AEX.AX	Acclaim Exploration NL
AEXCD.AX	Acclaim Exploration NL
AEZ.AX	APN UKA European Retail Trust
AFA.AX	ASF Group Ltd
AFI.AX	Australian Foundation Invest Ltd
AFR.AX	African Energy Resources (Guernsey) Ltd
AFT.AX	AFT Corporation Ltd
AFV.AX	Aurora Funds Limited
AGD.AX	Austral Gold Ltd
AGE.AX	Alligator Energy Limited
AGF.AX	AMP Capital China Growth Fund
AGG.AX	Anglogold Ashanti Ltd (Sth Afr CUFS)
AGI.AX	Ainsworth Game Technology Ltd
AGIG.AX	AGIG
AGJ.AX	Agricultural Land Trust
AGK.AX	AGL Energy
AGKKZE.AX	AGL Energy
AGKKZQ.AX	AGL Energy
AGKKZR.AX	Agl Energy Limited
AGO.AX	Atlas Gold Ltd
AGR.AX	Aguia Resources Limited
AGS.AX	Alliance Resources Ltd
AGU.AX	Aurium Resources Ltd
AGUOA.AX	Aurium Resources Limited
AGV.AX	Australian Gold Investments Ltd
AGX.AX	Agenix Ltd
AGXO.AX	Agenix Ltd
AGY.AX	Argosy Minerals Inc (CUFS)
AHC.AX	AHC Ltd
AHD.AX	Amalgamated Holdings Ltd
AHE.AX	Automotive Holdings Group Ltd
AHN.AX	Athena Resources Ltd
AHNOA.AX	Athena Resources Limited
AHR.AX	Anchor Resources Ltd
AIA.AX	Auckland International Airport Ltd
AIB.AX	Aurora Infrastructure Buy Write Income Trust
AIE.AX	A.I. Ltd
AIG.AX	Air Cruising Australia Ltd
AII.AX	ABRA Mining Ltd
AIO.AX	Asciano Group
AIQ.AX	Alternative Investment Trust
AIR.AX	Astivita Renewables Limited
AIV.AX	Activex Ltd
AIW.AX	Australian-american Mining Corporation
AIWO.AX	Australian-american Mining Corporation Nl
AIX.AX	Australian Infrastructure Group
AIY.AX	Authorised Investment Fund Ltd
AIYO.AX	Authorised Investment Fund Limited
AIZ.AX	Air New Zealand Ltd
AJA.AX	Astro Japan Property Trust
AJJ.AX	Asian Centre For Liver Diseases And Transplantation Limited
AJL.AX	AJ Lucas Group Ltd
AJM.AX	Altura Mining Limited
AJMOA.AX	Altura Mining Limited
AJO.AX	Armstrong Jones Office Fund
AJX.AX	Alexium International Group Limited
AKA.AX	Australia Minerals And Mining Group Ltd
AKAO.AX	Australia Minerals And Mining Group Ltd
AKF.AX	
AKG.AX	AKG
AKI.AX	AKI
AKIOA.AX	AKIOA
AKK.AX	Austin Exporation Ltd
AKKO.AX	Austin Exploration Limited
AKM.AX	Aspire Mining Limited
AKP.AX	Audio Pixels Holdings Limited
AKR.AX	AKR
AKS.AX	Australian Masters Corporate Bond Fund No 1 Limited
AKT.AX	Australian Masters Corporate Bond Fund No 2 Limited
AKU.AX	Australian Masters Corporate Bond Fund No 3 Limited
AKW.AX	Arturus Capital Limited
ALB.AX	Albidon Ltd
ALD.AX	Allied Gold Ltd
ALF.AX	Australian Leaders Fund Ltd
ALG.AX	Applied Learning Ltd t/over
ALGO.AX	Alamar Resources Limited
ALK.AX	Alkane Exploration Ltd
ALL.AX	Aristocrat Leisure Ltd
ALR.AX	Aberdeen Leaders Ltd
ALS.AX	Alesco Corporation Ltd
ALT.AX	Analytica Ltd
ALU.AX	Altium Ltd
ALY.AX	Alchemy Resources Ltd
ALZ.AX	Australand Property Group
AMA.AX	Allomak Ltd
AMB.AX	Ambition Group Ltd
AMC.AX	Amcor Ltd
AMCTMC.AX	Amcor Limited
AMH.AX	AMCIL Ltd
AMM.AX	Amcom Telecommunications Ltd
AMO.AX	Ambertech Ltd
AMP.AX	AMP Ltd
AMPKZH.AX	AMP Ltd
AMPKZI.AX	AMP Ltd
AMPKZR.AX	Amp Limited
AMPKZZ.AX	Amp Limited
AMT.AX	Advanced Surgical Design & Manufacture Ltd
AMU.AX	Amadeus Energy Ltd
AMX.AX	Ampella Mining Ltd
ANG.AX	Austin Engineering Ltd
ANM.AX	Australian Magnesium Corporation Ltd
ANN.AX	Ansell Ltd
ANO.AX	Advanced Nanotechnology Ltd
ANP.AX	Antisense Therapeutics Ltd
ANPO.AX	ANPO
ANQ.AX	Anaeco Ltd
ANQOA.AX	Anaeco Ltd
ANW.AX	Ausnico Limited
ANZ.AX	Australia & NZ Banking Group Ltd
ANZKZL.AX	Australia & NZ Banking Group Ltd
ANZKZM.AX	Australia & NZ Banking Group Ltd
ANZKZN.AX	Australia And New Zealand Banking Group Limited
ANZKZT.AX	Australia & NZ Banking Group Ltd
ANZKZX.AX	Australia And New Zealand Banking Group Limited
ANZMMI.AX	Australia & NZ Banking Group Ltd
ANZPA.AX	ANZ Bank Perf
ANZPB.AX	Australia & NZ Banking Group Ltd
