Symbol	Description
AH	DJ UBS Excess Index
AH.C	DJ UBS Excess Index Continuation
AHH11	DJ UBS Excess Index {Mar 11}
AHM11	DJ UBS Excess Index {Jun 11}
AHZ11	DJ UBS Excess Index {Dec 11}
AHZ12	DJ UBS Excess Index {Dec 12}
AHZ13	DJ UBS Excess Index {Dec 13}
AHZ14	DJ UBS Excess Index {Dec 14}
AK	Ethanol Futures (P)
AK.C	Ethanol Futures (P) Continuation
AKF12	Ethanol Futures (P) {Jan 12}
AKF13	Ethanol Futures (P) {Jan 13}
AKG12	Ethanol Futures (P) {Feb 12}
AKG13	Ethanol Futures (P) {Feb 13}
AKH11	Ethanol Futures (P) {Mar 11}
AKH12	Ethanol Futures (P) {Mar 12}
AKH13	Ethanol Futures (P) {Mar 13}
AKJ11	Ethanol Futures (P) {Apr 11}
AKJ12	Ethanol Futures (P) {Apr 12}
AKJ13	Ethanol Futures (P) {Apr 13}
AKK11	Ethanol Futures (P) {May 11}
AKK12	Ethanol Futures (P) {May 12}
AKK13	Ethanol Futures (P) {May 13}
AKM11	Ethanol Futures (P) {Jun 11}
AKM12	Ethanol Futures (P) {Jun 12}
AKM13	Ethanol Futures (P) {Jun 13}
AKN11	Ethanol Futures (P) {Jul 11}
AKN12	Ethanol Futures (P) {Jul 12}
AKQ11	Ethanol Futures (P) {Aug 11}
AKQ12	Ethanol Futures (P) {Aug 12}
AKU11	Ethanol Futures (P) {Sep 11}
AKU12	Ethanol Futures (P) {Sep 12}
AKV11	Ethanol Futures (P) {Oct 11}
AKV12	Ethanol Futures (P) {Oct 12}
AKX11	Ethanol Futures (P) {Nov 11}
AKX12	Ethanol Futures (P) {Nov 12}
AKZ11	Ethanol Futures (P) {Dec 11}
AKZ12	Ethanol Futures (P) {Dec 12}
BO	Soybean Oil (P)
BO.C	Soybean Oil (P) Continuation
BOF12	Soybean Oil (P) {Jan 12}
BOH11	Soybean Oil (P) {Mar 11}
BOH12	Soybean Oil (P) {Mar 12}
BOK11	Soybean Oil (P) {May 11}
BOK12	Soybean Oil (P) {May 12}
BON11	Soybean Oil (P) {Jul 11}
BON12	Soybean Oil (P) {Jul 12}
BON13	Soybean Oil (P) {Jul 13}
BOQ11	Soybean Oil (P) {Aug 11}
BOQ12	Soybean Oil (P) {Aug 12}
BOU11	Soybean Oil (P) {Sep 11}
BOU12	Soybean Oil (P) {Sep 12}
BOV11	Soybean Oil (P) {Oct 11}
BOV12	Soybean Oil (P) {Oct 12}
BOV13	Soybean Oil (P) {Oct 13}
BOZ11	Soybean Oil (P) {Dec 11}
BOZ12	Soybean Oil (P) {Dec 12}
BOZ13	Soybean Oil (P) {Dec 13}
C	Corn (P)
C.C	Corn (P) Continuation
CH11	Corn (P) {Mar 11}
CH12	Corn (P) {Mar 12}
CK11	Corn (P) {May 11}
CK12	Corn (P) {May 12}
CM.C	South Minnesota CBS Continuation
CMH11	South Minnesota CBS {Mar 11}
CMJ11	South Minnesota CBS {Apr 11}
CMK11	South Minnesota CBS {May 11}
CMM11	South Minnesota CBS {Jun 11}
CMN11	South Minnesota CBS {Jul 11}
CMN12	South Minnesota CBS {Jul 12}
CMQ11	South Minnesota CBS {Aug 11}
CMU11	South Minnesota CBS {Sep 11}
CMV11	South Minnesota CBS {Oct 11}
CMX11	South Minnesota CBS {Nov 11}
CMZ11	South Minnesota CBS {Dec 11}
CMZ12	South Minnesota CBS {Dec 12}
CN.C	East Nebraska CBS Continuation
CN11	Corn (P) {Jul 11}
CN12	Corn (P) {Jul 12}
CN13	Corn (P) {Jul 13}
CNF12	East Nebraska CBS {Jan 12}
CNG12	East Nebraska CBS {Feb 12}
CNH11	East Nebraska CBS {Mar 11}
CNH12	East Nebraska CBS {Mar 12}
CNJ11	East Nebraska CBS {Apr 11}
CNJ12	East Nebraska CBS {Apr 12}
CNK11	East Nebraska CBS {May 11}
CNK12	East Nebraska CBS {May 12}
CNM11	East Nebraska CBS {Jun 11}
CNM12	East Nebraska CBS {Jun 12}
CNN11	East Nebraska CBS {Jul 11}
CNN12	East Nebraska CBS {Jul 12}
CNQ11	East Nebraska CBS {Aug 11}
CNU11	East Nebraska CBS {Sep 11}
CNV11	East Nebraska CBS {Oct 11}
CNX11	East Nebraska CBS {Nov 11}
CNZ11	East Nebraska CBS {Dec 11}
CNZ12	East Nebraska CBS {Dec 12}
CO.C	East SouthDakota CBS Continuation
COF12	East SouthDakota CBS {Jan 12}
COG12	East SouthDakota CBS {Feb 12}
COH11	East SouthDakota CBS {Mar 11}
COH12	East SouthDakota CBS {Mar 12}
COJ11	East SouthDakota CBS {Apr 11}
COJ12	East SouthDakota CBS {Apr 12}
COK11	East SouthDakota CBS {May 11}
COK12	East SouthDakota CBS {May 12}
COM11	East SouthDakota CBS {Jun 11}
COM12	East SouthDakota CBS {Jun 12}
CON11	East SouthDakota CBS {Jul 11}
CON12	East SouthDakota CBS {Jul 12}
COQ11	East SouthDakota CBS {Aug 11}
COU11	East SouthDakota CBS {Sep 11}
COV11	East SouthDakota CBS {Oct 11}
COX11	East SouthDakota CBS {Nov 11}
COZ11	East SouthDakota CBS {Dec 11}
COZ12	East SouthDakota CBS {Dec 12}
CS.C	Soybean Crush Continuation
CSG11	Soybean Crush {Feb 11}
CSH11	Soybean Crush {Mar 11}
CSK11	Soybean Crush {May 11}
CSN11	Soybean Crush {Jul 11}
CSN12	Soybean Crush {Jul 12}
CSQ11	Soybean Crush {Aug 11}
CSU11	Soybean Crush {Sep 11}
CSV11	Soybean Crush {Oct 11}
CSV12	Soybean Crush {Oct 12}
CSZ11	Soybean Crush {Dec 11}
CSZ12	Soybean Crush {Dec 12}
CU11	Corn (P) {Sep 11}
CU12	Corn (P) {Sep 12}
