Symbol	Description
A6	Australian Dollar
A6.C	Australian Dollar Continuation
A6H11	Australian Dollar {Mar 11}
A6H12	Australian Dollar {Mar 12}
A6M11	Australian Dollar {Jun 11}
A6M12	Australian Dollar {Jun 12}
A6U11	Australian Dollar {Sep 11}
A6Z11	Australian Dollar {Dec 11}
AD	Australian Dollar(P)
AD.C	Australian Dollar(P) Continuation
ADH11	Australian Dollar(P) {Mar 11}
ADH12	Australian Dollar(P) {Mar 12}
ADM11	Australian Dollar(P) {Jun 11}
ADM12	Australian Dollar(P) {Jun 12}
ADU11	Australian Dollar(P) {Sep 11}
ADZ11	Australian Dollar(P) {Dec 11}
B6	British Pound
B6.C	British Pound Continuation
B6H11	British Pound {Mar 11}
B6H12	British Pound {Mar 12}
B6M11	British Pound {Jun 11}
B6M12	British Pound {Jun 12}
B6U11	British Pound {Sep 11}
B6Z11	British Pound {Dec 11}
BC	S&P GSCI {Oct 09}
BD.C	Butter Cash-Settled Continuation
BDF11	Butter Cash-Settled {Jan 11}
BDF12	Butter Cash-Settled {Jan 12}
BDG11	Butter Cash-Settled {Feb 11}
BDG12	Butter Cash-Settled {Feb 12}
BDH11	Butter Cash-Settled {Mar 11}
BDH12	Butter Cash-Settled {Mar 12}
BDJ11	Butter Cash-Settled {Apr 11}
BDJ12	Butter Cash-Settled {Apr 12}
BDK11	Butter Cash-Settled {May 11}
BDK12	Butter Cash-Settled {May 12}
BDM11	Butter Cash-Settled {Jun 11}
BDM12	Butter Cash-Settled {Jun 12}
BDN11	Butter Cash-Settled {Jul 11}
BDN12	Butter Cash-Settled {Jul 12}
BDQ11	Butter Cash-Settled {Aug 11}
BDQ12	Butter Cash-Settled {Aug 12}
BDU11	Butter Cash-Settled {Sep 11}
BDU12	Butter Cash-Settled {Sep 12}
BDV11	Butter Cash-Settled {Oct 11}
BDV12	Butter Cash-Settled {Oct 12}
BDX11	Butter Cash-Settled {Nov 11}
BDX12	Butter Cash-Settled {Nov 12}
BDZ11	Butter Cash-Settled {Dec 11}
BI	S&P Consumer Discret
BJ.C	Cheese Cash-Settled Continuation
BJF11	Cheese Cash-Settled {Jan 11}
BJF12	Cheese Cash-Settled {Jan 12}
BJG11	Cheese Cash-Settled {Feb 11}
BJG12	Cheese Cash-Settled {Feb 12}
BJH11	Cheese Cash-Settled {Mar 11}
BJH12	Cheese Cash-Settled {Mar 12}
BJJ11	Cheese Cash-Settled {Apr 11}
BJJ12	Cheese Cash-Settled {Apr 12}
BJK11	Cheese Cash-Settled {May 11}
BJK12	Cheese Cash-Settled {May 12}
BJM11	Cheese Cash-Settled {Jun 11}
BJM12	Cheese Cash-Settled {Jun 12}
BJN11	Cheese Cash-Settled {Jul 11}
BJN12	Cheese Cash-Settled {Jul 12}
BJQ11	Cheese Cash-Settled {Aug 11}
BJQ12	Cheese Cash-Settled {Aug 12}
BJU11	Cheese Cash-Settled {Sep 11}
BJU12	Cheese Cash-Settled {Sep 12}
BJV11	Cheese Cash-Settled {Oct 11}
BJV12	Cheese Cash-Settled {Oct 12}
BJX11	Cheese Cash-Settled {Nov 11}
BJX12	Cheese Cash-Settled {Nov 12}
BJZ11	Cheese Cash-Settled {Dec 11}
BL	S&P Consumer Staples
BM	S&P Energy
BN	S&P Financial
BP	British Pound (P)
BP.C	British Pound (P) Continuation
BPH11	British Pound (P) {Mar 11}
BPH12	British Pound (P) {Mar 12}
BPM11	British Pound (P) {Jun 11}
BPM12	British Pound (P) {Jun 12}
BPU11	British Pound (P) {Sep 11}
BPZ11	British Pound (P) {Dec 11}
BR	Brazilian Real (P)
BR.C	Brazilian Real (P) Continuation
BRH11	Brazilian Real (P) {Mar 11}
BRJ11	Brazilian Real (P) {Apr 11}
BRK11	Brazilian Real (P) {May 11}
BRM11	Brazilian Real (P) {Jun 11}
BRN11	Brazilian Real (P) {Jul 11}
BRQ11	Brazilian Real (P) {Aug 11}
BRU11	Brazilian Real (P) {Sep 11}
BRV11	Brazilian Real (P) {Oct 11}
BRX11	Brazilian Real (P) {Nov 11}
BRZ11	Brazilian Real (P) {Dec 11}
BS	S&P Health Care
C0	S&P GS Natural GasER
C1	Milk Grade Extra
C2	Milk Grade A
C3	Cheese Barrels
C4	Cheese Blocks
C5	Butter Grade AA
C7.C	Eurozone HICP Continuation
C7F12	Eurozone HICP {Jan 12}
C7G11	Eurozone HICP {Feb 11}
C7H11	Eurozone HICP {Mar 11}
C7J11	Eurozone HICP {Apr 11}
C7K11	Eurozone HICP {May 11}
C7M11	Eurozone HICP {Jun 11}
C7N11	Eurozone HICP {Jul 11}
C7Q11	Eurozone HICP {Aug 11}
C7U11	Eurozone HICP {Sep 11}
