Symbol	Description
ADDA.IDX	AMEX ADVANCES - DECLINES
ADDE.IDX	ETFS  Advance - Decline
ADDN.IDX	NYSE ADVANCES - DECLINES
ADDQ.IDX	NASD ADVANCES - DECLINES
ADR.IDX	AMEX Internationl Market Index
ADRA.IDX	AMEX ADVANCE/DECLINE RATIO
ADRD.IDX	OTC ADVANCE/DECLINE RATIO
ADRE.IDX	ETFS  Advance Decline Ratio
ADRN.IDX	NYSE ADVANCE/DECLINE RATIO
ADRQ.IDX	NASD ADVANCE/DECLINE RATIO
ADVA.IDX	AMEX Advances
ADVD.IDX	OTC ADVANCING
ADVE.IDX	ETFS  Advancing Stocks
ADVN.IDX	NYSE Advances
ADVQ.IDX	NASDAQ Advances
AEX.IDX	AEX General - Netherlands
AMZ.IDX	ALERIAN MLP INDEX
ASHD.IDX	AMEX DECLINING STOCKS
ASHF.IDX	AMEX ADVANCE DECLINE DIFFERENCE
ASHR.IDX	AMEX ADVANCE DECLINE RATIO
ASHU.IDX	AMEX ADVANCING STOCKS
ATX.IDX	ATX - Austria
AVDA.IDX	AMEX ADVANCES DECLINES VOLUME DI
AVDD.IDX	Otc Advance Decline Volume Diffe
AVDE.IDX	ETFS  Advances - Declines Volume
AVDN.IDX	NYSE ADVANCES DECLINES VOLUME DI
AVDQ.IDX	NASD ADVANCES DECLINES VOLUME DI
AVLD.IDX	AMEX DECLINING VOLUME
AVLF.IDX	AMEX ADVANCE DECLINE VOLUME DIFF
AVLR.IDX	AMEX ADVANCE DECLINE VOL RATIO
AVLU.IDX	AMEX ADVANCING VOLUME
AVRA.IDX	AMEX ADVANCE DECLINE VOLUME RATI
AVRD.IDX	OTC ADVANCE DECLINE VOLUME RATIO
AVRE.IDX	ETFS  Advance / Decline Volume
AVRN.IDX	NYSE ADVANCE DECLINE VOLUME RATI
AVRQ.IDX	NASD ADVANCE DECLINE VOLUME RATI
AVVA.IDX	AMEX ADVANCING VOLUME
AVVD.IDX	OTC ADVANCING VOLUME
AVVE.IDX	ETFS  Advancing Volume
AVVN.IDX	NYSE ADVANCING VOLUME
AVVQ.IDX	NASD ADVANCING VOLUME
AXO.IDX	AMEX FRO SETTLEMENT AAPL
BANK.IDX	Nasdaq Bank
BCMM.IDX	BARCHART MARKET MOMENTUM
BDI.IDX	Baltic Dry Index
BFX.IDX	BEL 20 - Belgium
BJE.IDX	NYSE ARCA MINI-BIOTECHNOLOGY IN-
BKX.IDX	Phlx Bank Index
BSESN.IDX	BSE 30 - India
BTD.IDX	Biotech Boxes Indicative Value
BTK.IDX	AMEX Biotechnology Index
BTS.IDX	AMEX BIOTECHNOLOGY INDEX FINAL
BUX.IDX	B2B Internet Holdrs Index
BVSP.IDX	Bovespa - Brazil
BWK.IDX	AMEX FRO SETTLEMENT WB
BXD.IDX	CBOE DJIA BUYWRITE INDEX
BXM.IDX	CBOE BUYWRITE MONTHLY INDEX
BXN.IDX	CBOE BUYWRITE MONTHLY INDEX
BXR.IDX	CBOE RUSSELL 2000 BUYWRITE INDE
BXY.IDX	CBOE S& P 500 BUYWRITE    INDEX
BZJ.IDX	NYSE ARCA MINI-OIL INDEX- YAHOO!
CAC40.IDX	Paris CAC 40
CEX.IDX	S& P CHEMICALS INDEX
CIB.IDX	CONTINUOUS CRB INDEX
CIE.IDX	STOWE COAL INDEX EUR
CIU.IDX	STOWE COAL INDEX USD
CKG.IDX	S&P SmallCap 600 BARRA Growth Index
CMQ.IDX	AMEX FRO SETTLEMENT CSCO
CMR.IDX	Morgen Stanley Consumer Index
COMP.IDX	Nasdaq Composite
CPH.IDX	CAPITAL PACIFIC HOLDINGS INC
CPR.IDX	Copper Index
CRB.IDX	CRB INDEX
CRE.IDX	CRB NonEnergy Total
CRS.IDX	CRB NonEnergy Excess
CRT.IDX	CRB Total Return
CRX.IDX	AMEX M/S Commodity Relate Equity
CSO.IDX	MORGAN STANLEY COUMER INDEX F
CTM.IDX	CREDIT SUISSE FIRST BOSTON TECH
CTN.IDX	Csfb Technology Index
CVK.IDX	S&P SmallCap 600 BARRA Value Index
CXV.IDX	MORGAN STANLEY COMMODITY RELATE
CYC.IDX	Morgen Stanley Cyclical Index
CYM.IDX	CLAYMORE YIELD ETF IOPV
CYO.IDX	MORGAN STANLEY CYCLICAL INDEX F
CYX.IDX	LONG SHORT TECHNOLOGY TRAKRS IN
CZH.IDX	AMEX CHINA INDX
DAA.IDX	Mergent Dividend Achievers Index
DAIX.IDX	AIG EXCESS RETURN INDEX
DAT.IDX	MERGENT INTERNATIONAL DIVIDEND
DAX.IDX	Frankfurt Dax
DAY.IDX	MERGENT DIV 50
DCAG.IDX	DJ-UBS Agriculture Subindex
DCBT.IDX	DJCBTI SETTLE
DCEN.IDX	DJ-UBS Energy Subindex
DCFI.IDX	Dow Comp Stocks Above 50-Day Average
DCGR.IDX	DJ-UBS Grains Subindex
DCIN.IDX	DJ-UBS Industrial Metals Subindex
DCLI.IDX	DJ-UBS Livestock Subindex
DCOF.IDX	Dow Comp Stocks Above 150-Day Average
DCOH.IDX	Dow Comp Stocks Above 100-Day Average
DCPR.IDX	DJ-UBS Precious Metals Subindex
DCQ.IDX	AMEX FRO SETTLEMENT DIA
DCSE.IDX	Djw US Semiconductor
DCSO.IDX	DJ-UBS Softs Subindex
DCSP.IDX	DJ-UBS Commodity Spot Index
DCTH.IDX	Dow Comp Stocks Above 200-Day Average
DCTW.IDX	Dow Comp Stocks Above 20-Day Average
DCXE.IDX	DJ-UBS ExEnergy Subindex
DDA.IDX	DJIA VOLATILITY INDEX - OFFER S
DDB.IDX	DJIA VOLATILITY INDEX - BID SID
DDO.IDX	AMEX DISK DRIVE INDEX FINAL SET
DDX.IDX	AMEX Disk Drive Index
DECA.IDX	AMEX Decliners
DECD.IDX	OTC DECLINING
DECE.IDX	ETFS  Declining Stocks
DECN.IDX	NYSE Decliners
DECQ.IDX	NASDAQ Decliners
DFI.IDX	AMEX Defense Index
DFW.IDX	Aeros & Defense Bridges Basket Value Index
DFX.IDX	Phlx Defense Sector Index
DGE.IDX	AMEX Equal Weighted Pharma Index
DHC.IDX	DYNAMIC HLTHCARE INTELL
DHD.IDX	DYNAMIC BANKING INTELL
DIFI.IDX	Dow Indu Stocks Above 50-Day Average
DIOF.IDX	Dow Indu Stocks Above 150-Day Average
DIOH.IDX	Dow Indu Stocks Above 100-Day Average
DITH.IDX	Dow Indu Stocks Above 200-Day Average
DITW.IDX	Dow Indu Stocks Above 20-Day Average
DIVD.IDX	S&P 500 ANNUAL DIVIDEND - 10X
DJA.IDX	DJ Composite
DJC.IDX	DJ Aig Commodity Index
DJEC.IDX	DJ INTERNET COMMERCE IND
DJI.IDX	DJ Industrial Average
DJT.IDX	DJ Transport Average
DJU.IDX	DJ Utility Average
DJUS.IDX	Dow Jones US Broad Market Index
DJWO.IDX	DJ WORLD STOCK INDEX
DJWS.IDX	DJ WILSHIRE 5000 TOT
DLTC.IDX	U.S. Large-Cap Technology Index
DMA.IDX	ISE ELECTRONIC TRADING INDEX
DMT.IDX	AMEX Internet Index
DNZ.IDX	AMEX FRO SETTLEMENT IWM
DOC.IDX	AMEX FRO SETTLEMENT GE
DOI.IDX	AMEX DEFEE INDEX FINAL SETTLE
DOWV.IDX	TREASURIES IDX
DRB.IDX	SHR BBACK ACH IX
DRCI.IDX	DJ COMPREIT
DREI.IDX	DJ EQUITYREIT
DRG.IDX	AMEX Pharmaceutical Index
DRO.IDX	AMEX PHARMACEUTICAL INDEX FINAL
DSAE.IDX	DJ US AERODEF
DSAF.IDX	DJ US DELIVRYSRV
DSAG.IDX	DJ US ASSETMNG
DSAI.IDX	DJ US ELECEQUIP
DSAL.IDX	DJ US ALUMINUM
DSAM.IDX	DJ US MEDEQUIP
DSAP.IDX	DJ US AUTOPARTS
DSAR.IDX	DJ US AIRLINES
DSAS.IDX	DJ US AEROSPACE
DSAT.IDX	DJ US AUTOPARTS
DSAU.IDX	DJ US AUTOMOBILE
DSAV.IDX	DJ US MEDIAAGN
DSBC.IDX	DJ US BRDCASTENT
DSBD.IDX	DJ US BLDGMATFIX
DSBE.IDX	DJ US BSTRNGEMP
DSBK.IDX	DJ US BANKS
DSBM.IDX	DJ US BASICMAT
DSBS.IDX	DJ US BSCRSRCES
DSBT.IDX	DJ US BIOTECHNO
DSBV.IDX	DJ US BEVERAGES
DSCA.IDX	DJ US GAMBLING
DSCC.IDX	DJ US COMMCHEM
DSCE.IDX	DJ US CONSELECT
DSCF.IDX	DJ US CLOTHACCSS
DSCG.IDX	DJ US TRAVLEIS
DSCH.IDX	DJ US CHEMICALS
DSCL.IDX	DJ US COAL
DSCM.IDX	DJ US PERSPROD
DSCN.IDX	DJ US CONSMATRLS
DSCP.IDX	DJ US CTNRS&PKNG
DSCR.IDX	DJ US CMPTRHRDWR
DSCS.IDX	DJ US SPLTYCNSRV
DSCT.IDX	DJ US SEMICONDTR
DSCX.IDX	DJ US SPCLTYCHEM
DSCY.IDX	DJ US CONSUMSRV
DSDB.IDX	DJ US BREWERS
DSDN.IDX	DJ US DEFENSE
DSDR.IDX	DJ US FDDRGRET
DSDS.IDX	DJ US INSUPPLIER
DSDT.IDX	U.S. Diversified REITs Index
DSDV.IDX	DJ US CMPTRSRV
DSEC.IDX	DJ US ELCCOMPEQP
DSEE.IDX	DJ US ELECEQUP
DSEH.IDX	U.S. Real Estate Holding & Development Index
DSEN.IDX	DJ US OIL&GAS
DSES.IDX	U.S. Real Estate Services Index
DSEU.IDX	DJ US ELECTRCTY
DSFA.IDX	DJ US FINADMIN
DSFB.IDX	DJ US FOOD&BEV
DSFC.IDX	DJ US FXLNTELCM
DSFD.IDX	DJ US FOODRTWHSL
DSFE.IDX	DJ US INDUSTMACH
DSFH.IDX	DJ US FURNISHNG
DSFI.IDX	DJ US FINCLSRV
DSFN.IDX	DJ US FINANCIALS
DSFO.IDX	DJ US FOODPRODRS
DSFP.IDX	DJ US FOODPRDCTS
DSFR.IDX	DJ US FORESTPAPR
DSFT.IDX	DJ US FOOTWEAR
DSFV.IDX	U.S. Financial Services Index
DSGF.IDX	DJ US GENFINAN
DSGI.IDX	DJ US GENINDUST
DSGT.IDX	DJ US GENRETAIL
DSGU.IDX	DJ US GASDISTRIB
DSHB.IDX	DJ US HOMECONS
DSHC.IDX	DJ US HLTHCARE
DSHD.IDX	DJ US DURHLDPROD
DSHG.IDX	DJ US HLDGOODS
DSHI.IDX	DJ US HMIMPRETL
DSHL.IDX	U.S. Hotel & Lodging REITs Index
DSHN.IDX	DJ US NDURHLDPRD
DSHP.IDX	DJ US HLTHCRPVDR
DSHR.IDX	DJ US COMRVEHTRK
DSHV.IDX	DJ US HVYCONS
DSIB.IDX	DJ US INSBROKERS
DSID.IDX	DJ US DVSFINDUS
DSIF.IDX	DJ US FLLINEINS
DSIG.IDX	DJ US INDGDS&SRV
