Symbol	Description
CA.C	No. 7 Cocoa Continuation
CAH11	No. 7 Cocoa {Mar 11}
CAH12	No. 7 Cocoa {Mar 12}
CAK11	No. 7 Cocoa {May 11}
CAK12	No. 7 Cocoa {May 12}
CAN11	No. 7 Cocoa {Jul 11}
CAN12	No. 7 Cocoa {Jul 12}
CAU11	No. 7 Cocoa {Sep 11}
CAU12	No. 7 Cocoa {Sep 12}
CAZ11	No. 7 Cocoa {Dec 11}
CAZ12	No. 7 Cocoa {Dec 12}
EI.C	Euroyen (Tibor) Continuation
EIH11	Euroyen (Tibor) {Mar 11}
EIH12	Euroyen (Tibor) {Mar 12}
EIH13	Euroyen (Tibor) {Mar 13}
EIM11	Euroyen (Tibor) {Jun 11}
EIM12	Euroyen (Tibor) {Jun 12}
EIM13	Euroyen (Tibor) {Jun 13}
EIU11	Euroyen (Tibor) {Sep 11}
EIU12	Euroyen (Tibor) {Sep 12}
EIU13	Euroyen (Tibor) {Sep 13}
EIZ11	Euroyen (Tibor) {Dec 11}
EIZ12	Euroyen (Tibor) {Dec 12}
EIZ13	Euroyen (Tibor) {Dec 13}
ET	EuroTop 100
ET.C	EuroTop 100 Continuation
ETH11	EuroTop 100 {Mar 11}
ETM11	EuroTop 100 {Jun 11}
ETU11	EuroTop 100 {Sep 11}
F.C	3-Month Euroswiss Continuation
FH11	3-Month Euroswiss {Mar 11}
FH12	3-Month Euroswiss {Mar 12}
FH13	3-Month Euroswiss {Mar 13}
FI	FTSEurofirst 300
FJ	FTSEurofirst 100
FJ.C	FTSEurofirst 100 Continuation
FJH11	FTSEurofirst 100 {Mar 11}
FJM11	FTSEurofirst 100 {Jun 11}
FJU11	FTSEurofirst 100 {Sep 11}
FK	FTSEurofirst 80
FK.C	FTSEurofirst 80 Continuation
FKH11	FTSEurofirst 80 {Mar 11}
FKM11	FTSEurofirst 80 {Jun 11}
FKU11	FTSEurofirst 80 {Sep 11}
FM11	3-Month Euroswiss {Jun 11}
FM12	3-Month Euroswiss {Jun 12}
FM13	3-Month Euroswiss {Jun 13}
FU11	3-Month Euroswiss {Sep 11}
FU12	3-Month Euroswiss {Sep 12}
FU13	3-Month Euroswiss {Sep 13}
FZ11	3-Month Euroswiss {Dec 11}
FZ12	3-Month Euroswiss {Dec 12}
FZ13	3-Month Euroswiss {Dec 13}
G.C	10-Year Gilt Continuation
GH11	10-Year Gilt {Mar 11}
GM11	10-Year Gilt {Jun 11}
GU11	10-Year Gilt {Sep 11}
IB.C	FTSE 100 Dividend Index Continuation
IBZ11	FTSE 100 Dividend Index {Dec 11}
IBZ12	FTSE 100 Dividend Index {Dec 12}
IBZ13	FTSE 100 Dividend Index {Dec 13}
IBZ14	FTSE 100 Dividend Index {Dec 14}
IBZ15	FTSE 100 Dividend Index {Dec 15}
IBZ16	FTSE 100 Dividend Index {Dec 16}
IBZ17	FTSE 100 Dividend Index {Dec 17}
IE.C	3-Month EONIA Continuation
IEG11	3-Month EONIA {Feb 11}
IEH11	3-Month EONIA {Mar 11}
IEH12	3-Month EONIA {Mar 12}
IEJ11	3-Month EONIA {Apr 11}
IEK11	3-Month EONIA {May 11}
IEM11	3-Month EONIA {Jun 11}
IEM12	3-Month EONIA {Jun 12}
IEN11	3-Month EONIA {Jul 11}
IEQ11	3-Month EONIA {Aug 11}
IEU11	3-Month EONIA {Sep 11}
IEU12	3-Month EONIA {Sep 12}
IEZ11	3-Month EONIA {Dec 11}
IEZ12	3-Month EONIA {Dec 12}
IF.C	3-Month Eurodollar Continuation
IFH11	3-Month Eurodollar {Mar 11}
IFH12	3-Month Eurodollar {Mar 12}
IFH13	3-Month Eurodollar {Mar 13}
IFH14	3-Month Eurodollar {Mar 14}
IFH15	3-Month Eurodollar {Mar 15}
IFM11	3-Month Eurodollar {Jun 11}
IFM12	3-Month Eurodollar {Jun 12}
IFM13	3-Month Eurodollar {Jun 13}
IFM14	3-Month Eurodollar {Jun 14}
IFU11	3-Month Eurodollar {Sep 11}
IFU12	3-Month Eurodollar {Sep 12}
IFU13	3-Month Eurodollar {Sep 13}
IFU14	3-Month Eurodollar {Sep 14}
IFZ11	3-Month Eurodollar {Dec 11}
IFZ12	3-Month Eurodollar {Dec 12}
IFZ13	3-Month Eurodollar {Dec 13}
IFZ14	3-Month Eurodollar {Dec 14}
IJ.C	1-Month EONIA Continuation
IJG11	1-Month EONIA {Feb 11}
IJH11	1-Month EONIA {Mar 11}
IJJ11	1-Month EONIA {Apr 11}
IJK11	1-Month EONIA {May 11}
