Symbol	Description
AR	Aussie/New Zealand
ARH11	Aussie/New Zealand {Mar 11}
AS	Aussie/Canadian
ASH11	Aussie/Canadian {Mar 11}
AU	Australian Dollar
AUH11	Australian Dollar {Mar 11}
BK	Brazilian Real
CC	Cocoa
CC.C	Cocoa Continuation
CCH11	Cocoa {Mar 11}
CCH12	Cocoa {Mar 12}
CCK11	Cocoa {May 11}
CCK12	Cocoa {May 12}
CCN11	Cocoa {Jul 11}
CCU11	Cocoa {Sep 11}
CCZ11	Cocoa {Dec 11}
CI	CRB CCI Index
CIG11	CRB CCI Index {Feb 11}
CIQ11	CRB CCI Index {Aug 11}
CR	CRB Futures Index
CRH11	CRB Futures Index {Mar 11}
CRM11	CRB Futures Index {Jun 11}
CT	Cotton #2
CT.C	Cotton #2 Continuation
CTH11	Cotton #2 {Mar 11}
CTH12	Cotton #2 {Mar 12}
CTH13	Cotton #2 {Mar 13}
CTK11	Cotton #2 {May 11}
CTK12	Cotton #2 {May 12}
CTK13	Cotton #2 {May 13}
CTN11	Cotton #2 {Jul 11}
CTN12	Cotton #2 {Jul 12}
CTV11	Cotton #2 {Oct 11}
CTV12	Cotton #2 {Oct 12}
CTZ11	Cotton #2 {Dec 11}
CTZ12	Cotton #2 {Dec 12}
DX	U.S. Dollar Index
DXH11	U.S. Dollar Index {Mar 11}
EJ	Euro/Yen
EJH11	Euro/Yen {Mar 11}
EK	Krone/Krona
EKH11	Krone/Krona {Mar 11}
EP	Euro/Canadian
EPH11	Euro/Canadian {Mar 11}
EQ	Euro/Australian
EQH11	Euro/Australian {Mar 11}
EU	Euro Futures
EUH11	Euro Futures {Mar 11}
EX	Euro Index
EXH11	Euro Index {Mar 11}
GB	Pound/Euro
GBH11	Pound/Euro {Mar 11}
GN	Pound/New Zealand
GNH11	Pound/New Zealand {Mar 11}
GY	Euro/Forint
GYH11	Euro/Forint {Mar 11}
GZ	Euro/Koruna
GZH11	Euro/Koruna {Mar 11}
HY	Canadian/Yen
HYH11	Canadian/Yen {Mar 11}
KC	Coffee
KC.C	Coffee Continuation
KCH11	Coffee {Mar 11}
KCH12	Coffee {Mar 12}
KCH13	Coffee {Mar 13}
KCK11	Coffee {May 11}
KCK12	Coffee {May 12}
KCK13	Coffee {May 13}
KCN11	Coffee {Jul 11}
KCN12	Coffee {Jul 12}
KCU11	Coffee {Sep 11}
KCU12	Coffee {Sep 12}
KCZ11	Coffee {Dec 11}
KCZ12	Coffee {Dec 12}
KJ	Krona/Yen
KJH11	Krona/Yen {Mar 11}
KU	Dollar/Krona
KUH11	Dollar/Krona {Mar 11}
KY	Krone/Yen
KYH11	Krone/Yen {Mar 11}
NS	Dollar/Krone
NSH11	Dollar/Krone {Mar 11}
OJ.C	Orange Juice Continuation
OJF12	Orange Juice {Jan 12}
OJF13	Orange Juice {Jan 13}
OJH11	Orange Juice {Mar 11}
OJH12	Orange Juice {Mar 12}
OJH13	Orange Juice {Mar 13}
OJK11	Orange Juice {May 11}
OJK12	Orange Juice {May 12}
OJK13	Orange Juice {May 13}
OJN11	Orange Juice {Jul 11}
OJN12	Orange Juice {Jul 12}
