Symbol	Description
AAAE.OB	AAA Energy Inc
AAALF.OB	Aareal Bank Ag
AABB.OB	Asia Broadband Inc
AABVF.OB	Aberdeen Intl Inc
AACAF.OB	Aac Acoustic Tech
AACAY.OB	Aac Acoustic Tec Adr
AACS.OB	American Comm Solut
AADG.OB	Asian Dragon Group
AADI.OB	Empyrean Holdings Inc
AAEHF.OB	Asia Environment Holdings Ltd
AAGH.OB	Asia Global Holdings Corp.
AAGLF.OB	Aurora Oil & Gas Ltd
AAIAF.OB	Astral Media Inc A
AAIGF.OB	Aia Group Ltd
AAII.OB	Alabama Aircraft Industries Inc.
AAIIQ.OB	Alabama Aircraft Industries Inc.
AAIR.OB	Avantair Inc
AAMA.OB	Asiamart Inc
AAMC.OB	American Asset Mgmt
AAMJF.OB	Astral Mining Corp
AAMTF.OB	Advisor's Disciplined Tr 385 Tax Exempt Muni Pf
AAMUQ.OB	American Ammunitn Nv
AANI.OB	Amedia Networks Inc
AANOF.OB	Asciano Group
AAPH.OB	American Petro-Hunt
AAPT.OB	All American Pet Company Inc.
AASI.OB	All Asia Licensing
AASL.OB	America's Suppliers
AASP.OB	All-Amer Sportpark
AATSF.OB	Aastra Technologies
AAUJF.OB	Andeangold Ltd
AAUKF.OB	Anglo American Ord
AAUKY.OB	Anglo Am Plc Adr
AAVG.OB	Avstar Aviation Grp
ABAKF.OB	Aberdeen Asia-Pacific Income Investment Co Ltd
ABBB.OB	Auburn Bancorp Inc.
ABCC.OB	Accelerated Bldg Con
ABCFF.OB	Abacus Mng & Expl Cp
ABCP.OB	Ambase Corp
ABCXF.OB	Asia Bio-Chem Group
ABDR.OB	Ambassador Food New
ABDTF.OB	ABTRUST NEW DAWN INV
ABEPF.OB	Abitex Res Inc
ABEW.OB	Airbee Wireless Inc
ABFIQ.OB	American Business Financial Serv
ABGFF.OB	American Bonanza Gol
ABGLF.OB	African Barrick Gold Plc
ABGOF.OB	Abengoa S.A.
ABGOY.OB	Abengoa Sa Adr
ABGSF.OB	Abg Sundal Collier A
ABHD.OB	Abtech Holdings Inc
ABHI.OB	Med Control Inc.
ABIX.OB	Abatix Corp.
ABIZF.OB	Abington Resources
ABKB.OB	American Basketball
ABKFQ.OB	Ambac Financial Group Inc.
ABKI.OB	Abakan Inc
ABLE.OB	Able Energy Inc.
ABLYF.OB	Ablynx Nv
ABLZF.OB	Abb Ltd Zuerich
ABMBF.OB	Abcourt Mines Inc Cl
ABMC.OB	Amer Bio Medica
ABNAF.OB	Cons Abaddon Res
ABNK.OB	Altapacific Bank
ABNS.OB	Alliance Bancshares California
ABOT.OB	Abot Mining Co
ABPA.OB	Allegiance Bank [Pa]
ABPH.OB	Advanced Biophotonic
ABPI.OB	Accentia Biopharmace
ABPR.OB	Airborne Security And Protective Services Inc
ABSSF.OB	Airboss Of America Corp
ABTG.OB	Ambient Corp
ABTO.OB	AB&T Financial Corporation
ABVV.OB	Abviva Inc
ABWAF.OB	Aditya Birla Mineral
ABWG.OB	A.B. Watley Group Inc.
ABZT.OB	Ablaze Technologies
ABZUF.OB	Abzu Gold Ltd
ACAR.OB	Activecare Inc
ACAZF.OB	Acadian Timber
ACBC.OB	Albina Commty Bcp Or
ACBR.OB	Bollente Companies Inc
ACCA.OB	Gibbs Construction I
ACCM.OB	Accredited Members Holding Group
ACCP.OB	Access Pharmaceuticl
ACCR.OB	Access Power Inc
ACCS.OB	Accesstel Inc
ACDP.OB	Mobile Airwaves New
ACDSF.OB	Ascendas R E Inv Tr
ACDU.OB	Accredited Business
ACEAF.OB	Ace Aviation Cl A
ACEBF.OB	Ace Aviation Cl B
ACEIF.OB	Acer Inc Gdrregs New
ACEL.OB	Tamir Biotechnology
ACERF.OB	Am Gold Inc
ACFL.OB	Amc Financial Hldgs
ACGBF.OB	Agricultural Bank
ACGBY.OB	Agricultural Bk Chin
ACGFY.OB	Accordia Golf Co Ltd
ACGI.OB	Amacore Group Cl A
ACGJ.OB	Aci Global Corp
ACGX.OB	Alliance Creative Group Inc
ACGYF.OB	Subsea 7 Sa
ACII.OB	Americhip International Inc.
ACKDF.OB	Auckland Intl Ltd Nz
ACKO.OB	Mercantile Resources Ltd
ACKRF.OB	American Creek Resources Ltd.
ACLH.OB	Act Clean Tech
ACLO.OB	Acl Semiconductors Inc.
ACLZ.OB	Accelerize New Media
ACME.OB	Acme Communication
ACMI.OB	American Cons Mgmt
ACMM.OB	Accom Inc
ACMTA.OB	A C M A T Cp Cl A
ACMUY.OB	Acom Co Ltd Sp Adr
ACNDF.OB	Ascendas India Tr
ACOSF.OB	Archos Act Nom
ACPC.OB	Acap Corp
ACPIQ.OB	Anthracite Cap Inc
ACPOQ.OB	Anthracite Cap Ser D
ACPPQ.OB	Anthracite Capital Inc.
ACRB.OB	Asia Carbon Industri
ACRFF.OB	Accor Sa
ACRFY.OB	Accor S A Unsp Adr
ACRI.OB	Acro Inc
ACRZF.OB	Acro Ener Tech Corp
ACSAF.OB	Acs Actividades De C
ACSEF.OB	Acs Motion Control Ltd.
ACSTF.OB	Aerocast Inc
ACSYF.OB	Accsys Technologies
ACTC.OB	Advanced Cell Tech
ACTFF.OB	Asian Citrus Holding
ACTPF.OB	Ascent Resources Plc
ACTRF.OB	Ascott Residence Tru
ACTT.OB	Act Teleconf Inc
ACTVF.OB	Active Control Techn
ACUC.OB	American Uranium Cp
ACUS.OB	Acusphere Inc.
ACUZW.OB	Accuride Corp
ACXIF.OB	Acciona Sa
ACYD.OB	American Community
ADAC.OB	Adama Technologies
ADAIF.OB	Acadian Mining Corp
ADBCF.OB	Adelaide Brighton Au
ADBI.OB	Adb Intl Group Inc.
ADBN.OB	Americana Distributn
ADBRF.OB	Admiral Bay Resource
ADCF.OB	Advanced Defense
ADCS.OB	Advanced Content Svc
ADDC.OB	Addmaster Corp
ADDDF.OB	Adidas Ag
ADDL.OB	Aduddell Industries
ADDXF.OB	Addex Pharma Ord
ADDYY.OB	Adidas Ag
ADEC.OB	Alternative Energy
ADEH.OB	Andover Energy Hldg
ADENF.OB	Adira Energy Canada
ADEXF.OB	Advanced Exploration
ADFJF.OB	Adf Group Inc
ADFT.OB	Adfitech Inc
ADGD.OB	Andresmin Gold
ADGI.OB	Allied Defense Group
ADHC.OB	American Diversified
ADHLF.OB	Applied Intl Holding
ADHXF.OB	Adherex Technologies
ADLI.OB	Amer Medical Tech
ADLS.OB	Advanced Life Scienc
ADMD.OB	Advanced Medical Iso
ADMH.OB	Admiralty Holding Co
ADMNF.OB	Andina Minerals Inc
ADMP.OB	Adamis Pharmaceuticl
ADMT.OB	Adm Tronics Unlimited Inc.
ADMZ.OB	Adtomize Inc
ADNLF.OB	Aberdeen Intl Inc
ADNT.OB	Ardnet Mines Ltd
ADNW.OB	Auto Data Network Inc
ADNY.OB	Adino Energy Corp
ADOOY.OB	Adaro Energy
ADOT.OB	Advanced Optic Elec
ADOV.OB	Andover Medical Inc
ADPAJ.OB	Adelphia Recovery Tr
ADPAN.OB	Adelphia Recov Tr
ADPAO.OB	Adelphia Cvv S Acc4
ADPAR.OB	Adelphia Recov Tr
ADPAS.OB	Adelphia Recovery Tr
ADPC.OB	Allied Products Corp
ADPMF.OB	Ad Pepper Media Intl
ADPT.OB	Adpt Corporation
ADRGF.OB	Amador Gold Corp
ADRS.OB	Adrian Steel Co
ADRZF.OB	Andritz Ag Graz
ADRZY.OB	Andritz Ag Unsp Adr
ADST.OB	Adstar Inc
ADSU.OB	Aden Solutions Inc.
ADSV.OB	Allied Security Inno
ADSYQ.OB	Ad Sys Comm Inc.
ADTR.OB	Alliance Distributors Holding Inc.
ADTTF.OB	Advisors Dis Tr 209 Greater Asia
ADTY.OB	Adtegrity.Com Intl I
ADUEF.OB	Amadeus Energy Limited
ADVA.OB	Advatech Cp
ADVBQ.OB	Advanta Corp.
ADVC.OB	Advant-E Corporation
ADVNQ.OB	Advanta  Corp Cl A
ADVOF.OB	Adva Optical Ntwkng
ADVR.OB	Advanced Viral Resrh
ADWPF.OB	Andrew Peller Ltd Cl
ADWT.OB	Auto Underwriters
ADXDF.OB	Adex Mining Corp
ADXM.OB	Adex Media Inc
ADXRF.OB	Audax Resources
ADXS.OB	Advaxis Inc
ADYE.OB	Aradyme Corp
AEBF.OB	Ae Biofuels Inc
AEBZY.OB	Anadolu Efes Birck
AECS.OB	Aec Holdings Corp.
AEDOF.OB	Aed Oil Ltd
AEEI.OB	American Environment
AEFI.OB	Sienna Resources Inc
AEGG.OB	American Energy New
AEGMF.OB	Alliance Gold Mines
AEGOF.OB	Aegon Nv Ord Shs
AEGP.OB	American Eagle Group
AEGSF.OB	Aegis Group Plc Ord
AEGXF.OB	Aecon Group Inc
AEGY.OB	Alternative Energy
AEHI.OB	Alternate Energy Hld
AELEF.OB	Alpine Electronics I
AELGF.OB	Aer Longus Group
AEMAF.OB	Alchemia Ltd
AEMC.OB	Archer Entertainment
AEMD.OB	Aethlon Medical Inc
AEMI.OB	Access To Money Inc.
AEMZF.OB	Agnico-Eagle Mns Wt
AENC.OB	August Energy Corp
AEND.OB	American Enterpr Dev
AENG.OB	Advanced Engine Tech
AENP.OB	American Energy Prod
AENS.OB	Alternative Energy Sources Inc.
AENY.OB	Americas Energy Co
AEOH.OB	Aeon Holdings Inc
AEOJF.OB	Aeon Credit Svc [Jpn
AEORF.OB	Aleo Solar
AEPLF.OB	Anglo Eastern Planta
AERN.OB	Aer Energy Resources
AERO.OB	Aerogrow Intl Inc
AERP.OB	Aero Perf Prod Inc
AERS.OB	Aerius Cmn Stk
AERT.OB	Advanced Enviro A
AESAY.OB	Aes Tiete Sa Sp Adr
AESO.OB	Atlantic Energy Sol
AESYY.OB	Aes Tiete Sa
