Symbol	Description
AAB.TO	Aberdeen International Inc
AAB.WT.TO	Aberdeen Intl Inc
AAH.TO	Aastra Technologie Com Npv
AAV.TO	Advantage Energy Income Fd
AAV.DB.D.TO	Advantage 7.75% Deb
AAV.DB.G.TO	Advantage Oil 8% Db
AAV.DB.H.TO	Advantage Oil 5% Db
ABC.TO	Asia Bio-Chem Group Corp
ABH.TO	Abitibibowater Inc
ABK.A.TO	Allbanc Split Corp
ABK.PR.B.TO	ALLBANC SPLIT CORP
ABK.WT.TO	Allbanc Split Corp
ABO.A.TO	Arbor Memorial Services Inc
ABO.B.TO	Arbor Memorial Cl B
ABT.TO	Absolute Software Corp
ABX.TO	Barrick Gold Corp Com Npv
AC.A.TO	Air Canada Cl A Var Vtg Shs Npv
AC.B.TO	Air Canada Cl B Vtg Shs Npv
AC.WT.TO	Air Canada-
ACC.TO	Amica Mature Lifestyles Inc
ACD.TO	Accord Finl Corp Com Npv
ACE.A.TO	Ace Aviation Holdings Inc
ACE.B.TO	Ace Aviation Hldg Cl'B' Voting
ACM.A.TO	Astral Media Inc Class'A'Non-Vt
ACM.B.TO	Astral Media Inc Class'B'Com Np
ACO.X.TO	Atco Ltd Class I Non-Voting Com
ACO.Y.TO	Atco Ltd Class Ii Voting Com Np
ACQ.TO	Autocanada Inc
AD.TO	Alaris Royalty Corp. [The Co.]
ADA.TO	Acadian Mining Corp
ADC.UN.TO	Canadian Advantaged Conv Fd
ADN.TO	Acadian Timber Corp
ADW.A.TO	Andrew Peller Ltd Com Npv Class
ADW.B.TO	Andrew Peller Ltd Com Npv Class
AEI.TO	Arsenal Energy Inc Com Npv
AEM.TO	Agnico Eagle Mines Com Npv
AEM.WT.U.TO	Agnico-Eagle Mines Ltd
AEN.TO	Antrim Energy Inc
AER.TO	Aeroplan Income Fd
AER.PR.A.TO	GROUPE AEROPLAN INC SRS 1
AEU.UN.TO	Activenergy Income Trust Units
AEZ.TO	Aeterna Zentaris Com Npv
AF.TO	Alarmforce Inds Com Npv
AFN.TO	Ag Growth Income Fd New
AFN.DB.TO	Ag Growth Intl Inc 7.0% Conv
AFP.UN.TO	Agf Master Limited Lp Units
AFU.UN.TO	Acuity Focused Ttl Trust Units
AG.DB.TO	Arctic Glacier Inc Fd
AG.UN.TO	Arctic Glacier Inc Trust Units
AGB.UN.TO	Global Agribusiness Trust Trust
AGF.B.TO	Agf Management Ltd Class'B'Non-
AGI.TO	Alamos Gold Inc Com Npv
AGT.TO	Alliance Grain Traders Inc
AGU.TO	Agrium Inc Com Npv
AHD.TO	Arehada Mining Ltd Com Npv
AHX.TO	Adherex Technologi Com Npv
AIF.TO	Altus Group Ltd
AIF.DB.TO	Altus Group Income Fund
AIG.UN.TO	Acuity Gth & Inc T Trust Units
AKL.TO	Akela Pharma Inc He Company]
AKT.A.TO	Akita Drilling Ltd Class'A'N/Vt
AKT.B.TO	Akita Cl B
ALA.TO	Altagas Ltd
ALA.PR.A.TO	Altagas Ltd
ALB.TO	Allbanc Split Ii Class A Capita
ALB.PR.A.TO	Allbanc Split Corp II Class A Preferred
ALC.TO	Algoma Central Cp Com Cad2
ALG.TO	Allied Gold Ltd [The Co]
ALS.TO	Altius Minerals Corp
AM.TO	Automodular Corpor Com Npv
AMC.TO	Alexis Minerals Com Npv
AMF.TO	Amorfix Life Scien Com Npv
AMM.TO	Almaden Minerals Com Npv
ANO.TO	Anatolia Minerals Com Npv
ANO.DB.TO	Anatolia Minerals Development Li
ANS.TO	Ainsworth Lmbr Ltd
ANS.WT.TO	Ainsworth Lumber Co Ltd Wts 29/
ANV.TO	Allied Nevada Gold Com Stk Usd0
ANX.TO	Anaconda Mining In Com Npv
AOG.UN.TO	Brompton Adv Equal Trust Units
AOG.WT.TO	BROMPTON ADVTG OIL &     GAS INC
AP.UN.TO	Allied Props Real Trust Units
APV.TO	Arise Tech Corp[The Company]
APV.WT.TO	Arise Technologies Corporation
APV.WT.A.TO	Arise Tech A Wt J
APY.TO	Anglo Pacific Group Plc
AQA.TO	Aquila Resources Com Npv
AQL.TO	Aeroquest Intl Ltd He Co]
AQN.TO	Algonquin Pwr & Utilities Corp
AQN.DB.TO	Algonquin Pwr & Utilities Corp
AQN.DB.A.TO	Algonquin Pwr 6.35Db
AQN.DB.B.TO	Algonquin Pwr 7% Deb
AR.TO	Argonaut Gold Ltd
AR.WT.TO	Argonaut Gold Ltd Warrants
ARE.TO	Aecon Group Inc. Com Npv
ARE.DB.TO	Aecon Group Inc 7% Conv
ARE.DB.A.TO	Aecon Group 6.25% Db
ARF.TO	Armtec Infrastructure
ARF.DB.TO	Armtec Infrastructure Income F
ARG.TO	Amerigo Resources Com Npv
ARL.TO	Africo Resources L Com Npv
ARX.TO	Arc Resources
ARZ.TO	Aurizon Mines Com Npv
ASC.TO	Aic Global Financial Split Corp
ASC.PR.A.TO	AIC Global Financial Pfd A
ASF.TO	Acuity Small Cap C Com Stk Npv
ASR.TO	Aspen Group Resources Cp
ATA.TO	Ats Auto Tooling Com Npv
ATB.TO	Atrium Innovations Com Npv
ATD.A.TO	Alimentation Couche-Tard Inc
ATD.B.TO	Alimentation Couche-Tard Inc
ATH.TO	Athabasca Oil Sands Corp
ATN.TO	Atna Resources Com Npv
ATP.TO	Atlantic Power Cor Com Npv
ATP.DB.TO	Atlantic Power Corp 6.25% Debn
ATP.DB.A.TO	Atlantic Pwr 6.25 Db
ATP.DB.B.TO	Atlantic Pwr 6.25 Db
ATQ.TO	Adeptron Technolog Com Npv
AUA.TO	Adanac Molybdenum Com Npv
AUM.TO	Golden Minerals Co
AUZ.UN.TO	Australian Banc Cap Secs Tr
AV.UN.TO	Brompton Advge Vip Incme Fd
AV.WT.TO	BROMPTON ADVANTAGED VIP INCOME
AVF.TO	Avenex Energy Corp
AVK.TO	Avnel Gold Mining Com Npv
AVL.TO	Avalon Rare Metals
AVL.WT.TO	Avalon Rare Metals Inc
AVM.TO	Anvil Mining Ltd Com Npv
AVP.TO	Avcorp Inds Inc Com Npv
AVR.TO	Avion Resources Corp
AW.UN.TO	A&W Revenue Royalt Trust Units
AX.DB.C.TO	Artis Reit C Deb J
AX.DB.E.TO	Artis Reit E Deb
AX.DB.F.TO	Artis Reit F Deb
AX.UN.TO	Artis Reit
AXL.TO	Anderson Energy Lt Com Npv
AXL.DB.TO	Anderson Energy Ltd Deb 7.5%
AXR.TO	Alexco Resource Co Com Npv
AXX.TO	Axia Netmedia Corp Com Npv
AYX.TO	Auryx Gold Corp.
