Symbol	Description
AA.V	Astral Mining Corp
AA.WT.V	Astral Mining Corporation Wt Ex-
AAA.V	Allana Resources Inc
AAC.V	Actus Mineral Corp
AAG.V	Andean American Mining Corp.
AAM.V	Atacama Minerals Corp.
AAN.V	Alexander Nubia International I
AAR.UN.V	Pure Industrial Re Trust Units
AAT.V	Ati Airtest Technologies Inc.
AAU.V	Andeangold Ltd
AAX.V	Advance Gold Corp
AB.H.V	Asbestos Corporation Limited
ABA.V	Abbastar Uranium Corp
ABB.V	Abitibi Mining Corp.
ABE.V	Abitex Resouces Inc.
ABG.V	Amg Bioenergy Resources Holding
ABI.V	Abcourt Mines Inc.
ABL.V	Abington Resources Ltd
ABM.V	Athabasca Minerals Inc
ABN.V	Cons Abaddon Resources Inc.
ABP.H.V	Albion Petroleum Ltd.
ABR.V	Ashburton Ventures Inc
ABS.V	Abzu Gold Ltd
ABZ.V	Asiabasemetals Inc
ACG.V	Anglo Canadian Oil Corp
ACK.V	Active Growth Capital
ACL.V	Anthony Clark Intl Brokers Ltd
ACP.V	Ansell Capital Corp
ACS.V	Archon Minerals Ltd.
ACT.V	Active Control Technology Inc
ADB.V	Admiral Bay Resources Inc.
ADD.V	Arctic Star Diamond Corp.
ADE.V	Adex Mining Inc
ADG.V	Arcus Development Group Inc
ADI.V	Adriana Resources Inc.
ADK.V	Diagnos Inc
ADL.V	Adira Energy Ltd
ADM.V	Andina Minerals Inc.
ADM.WT.V	Andina Minerals Inc
ADR.H.V	Arcland Resources Inc.
ADT.V	Adroit Resources Inc.
ADV.V	Alderon Resource Corp
ADX.V	Advantex Marketing Intl Inc
AE.A.V	Anterra Energy Inc Cl A
AEL.V	Amseco Exploration Ltd
AEX.V	Appleton Exploration Inc
AFA.V	Afri-Can Marine Minerals Corpor
AFH.V	Atlas Financial Holdings Inc
AFM.V	Alphamin Resources Corp.
AFR.V	African Metals Corp.
AFS.H.V	Afrasia Mineral Fields Inc.
AFX.V	Alternative Fuel Systems [2004]
AGA.V	Argonaut Exploration Inc
AGC.V	Amarillo Gold Corporation
AGD.V	Antioquia Gold Inc
AGE.V	Adventure Gold Inc
AGG.V	African Gold Group Inc.
AGL.V	Aguila American Resources Ltd
AGM.V	Aldridge Minerals Inc.
AGO.V	Aurcrest Gold Inc
AGP.V	August Metal Corporation
AGQ.V	Arian Silver Corporation
AGR.V	Agritec Systems Inc.
AGX.V	Amador Gold Corp.
AHC.V	Artha Resources Corp
AHF.V	Aston Hill Financial Inc.
AHG.V	Orior Technologies Inc
AHR.V	Amarc Resources Ltd.
AHS.V	Alta Natural Herbs &     Supplem
AIA.V	Auriga Gold Corp
AIM.V	Aegis Investment Management
AIQ.H.V	Atlantis Systems Corp
AIR.V	Cleanfield Alternative Energy
AIX.V	Alix Resources Corp.
AJC.V	American Cons
AKA.V	Aka Ventures Inc.
AKH.V	Alaska Hydro Corporation
AKM.V	Act360 Solutions Ltd.
AKV.V	Acrex Ventures Ltd.
AL.PR..V	Alita Resources Ltd
ALE.V	Alange Energy Corp
ALF.V	Alpetro Resources Ltd.
ALH.V	Alhambra Resources Ltd.
ALL.H.V	International Alliance Res Inc.
ALN.V	Aldrin Resource Corp
ALO.V	Alston Ventures Inc
ALQ.V	Alpha Gold Corp.
ALR.V	Alder Resources Ltd
ALT.V	Alturas Minerals Corp
ALU.V	Anglo Aluminum Corp
ALW.V	All In West! Capital Corporatio
ALY.PR..V	Alya Ventures Limited Com Npv
ALZ.V	Aldershot Resources Ltd.
AMA.V	Aeromechanical Services Ltd.
AME.V	Abacus Mining & Exploration Cor
AMG.V	Argent Mining Corp
AMH.V	Amanta Resources Ltd.
AMK.V	American Creek Resources Ltd
AML.V	Argus Metals Corp
AMT.V	Amato Exploration Ltd
AMU.V	Ami Resources Inc.
AMX.V	AMEX Exploration Inc.
AMY.V	American Manganese Inc
AMZ.V	Amazon Mining Holding Plc
ANA.V	Angus Mining Namibia Inc
ANB.V	Anglo-Bomarc Mines Ltd. [N.P.L.
ANC.V	Angoss Software Corp.
ANF.V	Anfield Nickel Corp
ANG.V	Altacanada Energy Corp.
ANI.V	Animas Resources Ltd
ANL.H.V	Atlantic Industrial Minerals In
ANQ.V	Allegiance Equity Corp.
ANR.U.V	American Natural Energy Corp. U
AOE.V	Access International Education
AOI.V	Africa Oil Corp
AOS.V	Alberta Oilsands Inc
AOT.V	Ascot Resources Ltd.
AOX.V	Andover Ventures Inc.
APA.V	Apella Resources Inc
APC.V	Advanced Proteome Therapeutics
APD.V	Advanced Primary Minerals Corp
APE.V	Apogee Minerals Ltd.
APH.V	Alda Pharmaceuticals Corp.
APL.V	Appulse Corporation
APM.V	Amerix Precious Metals Corporat
APN.V	Altiplano Minerasl Ltd
APP.V	Appalaches Resources Inc
APT.V	Almo Capital Corp.
APZ.V	Aptilon Corporation
AQ.V	African Queen Mines Ltd
AQC.V	Aquarius Coatings Inc.
AQD.V	Komet Manufacturers Inc.
AQE.V	Aqua-Pure Ventures Inc.
AQM.V	Apoquindo Minerals Inc.
AQX.V	Algonquin Oil & Gas Ltd.
ARD.V	Armada Data Corp
ARH.V	Altima Resources Ltd.
ARI.V	Acme Resources Inc
ARK.V	Archer Petroleum Corp
ARN.V	Arcan Resources Ltd
ARQ.V	Anooraq Resources Corp.
ARR.V	Arco Resources Corp
ART.V	Acro Energy Technologies Corp [
ARU.V	Auro Resources Corp
ARW.V	Aroway Mine
ASL.V	Ace Security Laminates Cp
ASM.V	Avino Silver & Gold Mines Ltd.
ASN.V	Asian Mineral Resources Limited
ASQ.V	Astorius Resources Ltd
AST.V	Astur Gold Corp
ASU.PR..V	Ansue Capital Corp
ASW.V	Anglo Swiss Resources Inc
ASX.V	Alberta Star Development Corp.
AT.H.V	Attwell Captial Inc
ATC.V	Atac Resources Ltd.
ATG.V	Atlanta Gold Inc
ATI.V	Altai Resources Inc
ATK.V	Atikwa Minerals Corporation
ATM.V	Atacama Pacific Gold Corp
ATT.V	Atocha Resources Inc
ATV.V	Alto Ventures Ltd.
ATX.V	Argentex Mining Corporation
AU.V	Aurion Resources Ltd
AUC.V	Golden China Res Corp
AUD.V	Audiotech Healthcare Corp. [Tie
AUG.V	Augen Capital Corp.
AUN.V	Aurcana Corporation
AUR.V	African Aura Mining Inc
AUT.V	Automated Benefits Corp
AUU.V	Aura Silver Resources Inc
AUV.V	Augyva Inc. [Ressources Miniere
AUX.V	Auramex Resource Corp
AVC.V	American Vanadium Corpc Com
AVG.V	Avatar Energy Ltd
AVI.V	Advitech Inc.
AVS.H.V	Ava Resources Corp
AVT.V	Avanti M
AVU.V	Avrupa Minerals Ltd.
AVW.H.V	Avc Venture Capital Corp Com Np-
AVX.V	Altair Ventures Incorporated
AVZ.V	Avala Res Ltd
AWA.V	Arrowhead Water Products Ltd
AWI.V	Advent Wireless Inc
AXD.V	Alexander Mining Plc Ord
AXE.V	Acceleware Corp
AXI.V	Advanced Explorations Inc.
AXM.V	Axmin Inc.
AXP.V	Accelrate Pwr Sys Inc
